SAMPLE_ID	brca_metabric_mutations	brca_metabric_cna	brca_metabric_mrna
MB-0229	METABRIC_173	METABRIC_173	METABRIC_173
MB-0230	METABRIC_173	METABRIC_173	METABRIC_173
MB-0231	METABRIC_173	METABRIC_173	METABRIC_173
MB-0232	METABRIC_173	METABRIC_173	METABRIC_173
MB-0233	METABRIC_173	METABRIC_173	METABRIC_173
MB-0234	METABRIC_173	METABRIC_173	METABRIC_173
MB-0235	METABRIC_173	METABRIC_173	METABRIC_173
MB-0236	METABRIC_173	METABRIC_173	METABRIC_173
MB-0238	METABRIC_173	METABRIC_173	METABRIC_173
MB-0239	METABRIC_173	METABRIC_173	METABRIC_173
MB-0241	METABRIC_173	METABRIC_173	METABRIC_173
MB-0242	METABRIC_173	METABRIC_173	METABRIC_173
MB-0243	METABRIC_173	METABRIC_173	METABRIC_173
MB-0244	METABRIC_173	METABRIC_173	METABRIC_173
MB-0245	METABRIC_173	METABRIC_173	METABRIC_173
MB-0247	METABRIC_173	METABRIC_173	METABRIC_173
MB-0248	METABRIC_173	METABRIC_173	METABRIC_173
MB-0249	METABRIC_173	METABRIC_173	METABRIC_173
MB-0253	METABRIC_173	METABRIC_173	METABRIC_173
MB-0256	METABRIC_173	METABRIC_173	METABRIC_173
MB-0257	METABRIC_173	METABRIC_173	METABRIC_173
MB-0258	METABRIC_173	METABRIC_173	METABRIC_173
MB-0259	METABRIC_173	METABRIC_173	METABRIC_173
MB-0260	METABRIC_173	METABRIC_173	METABRIC_173
MB-0261	METABRIC_173	METABRIC_173	METABRIC_173
MB-0262	METABRIC_173	METABRIC_173	METABRIC_173
MB-0263	METABRIC_173	METABRIC_173	METABRIC_173
MB-0264	METABRIC_173	METABRIC_173	METABRIC_173
MB-0265	METABRIC_173	METABRIC_173	METABRIC_173
MB-0266	METABRIC_173	METABRIC_173	METABRIC_173
MB-0268	METABRIC_173	METABRIC_173	METABRIC_173
MB-0269	METABRIC_173	METABRIC_173	METABRIC_173
MB-0270	METABRIC_173	METABRIC_173	METABRIC_173
MB-0272	METABRIC_173	METABRIC_173	METABRIC_173
MB-0273	METABRIC_173	METABRIC_173	METABRIC_173
MB-0275	METABRIC_173	METABRIC_173	METABRIC_173
MB-0278	METABRIC_173	METABRIC_173	METABRIC_173
MB-0279	METABRIC_173	METABRIC_173	METABRIC_173
MB-0280	METABRIC_173	METABRIC_173	METABRIC_173
MB-0281	METABRIC_173	METABRIC_173	METABRIC_173
MB-0282	METABRIC_173	METABRIC_173	METABRIC_173
MB-0283	METABRIC_173	METABRIC_173	METABRIC_173
MB-0284	METABRIC_173	METABRIC_173	METABRIC_173
MB-0285	METABRIC_173	METABRIC_173	METABRIC_173
MB-0286	METABRIC_173	METABRIC_173	METABRIC_173
MB-0287	METABRIC_173	METABRIC_173	METABRIC_173
MB-0288	METABRIC_173	METABRIC_173	METABRIC_173
MB-0289	METABRIC_173	METABRIC_173	METABRIC_173
MB-0290	METABRIC_173	METABRIC_173	METABRIC_173
MB-0291	METABRIC_173	METABRIC_173	METABRIC_173
MB-0292	METABRIC_173	METABRIC_173	METABRIC_173
MB-0293	METABRIC_173	METABRIC_173	METABRIC_173
MB-0294	METABRIC_173	METABRIC_173	METABRIC_173
MB-0295	METABRIC_173	METABRIC_173	METABRIC_173
MB-0299	METABRIC_173	METABRIC_173	METABRIC_173
MB-0301	METABRIC_173	METABRIC_173	METABRIC_173
MB-0302	METABRIC_173	METABRIC_173	METABRIC_173
MB-0303	METABRIC_173	METABRIC_173	METABRIC_173
MB-0304	METABRIC_173	METABRIC_173	METABRIC_173
MB-0305	METABRIC_173	METABRIC_173	METABRIC_173
MB-0306	METABRIC_173	METABRIC_173	METABRIC_173
MB-0307	METABRIC_173	METABRIC_173	METABRIC_173
MB-0308	METABRIC_173	METABRIC_173	METABRIC_173
MB-0309	METABRIC_173	METABRIC_173	METABRIC_173
MB-0310	METABRIC_173	METABRIC_173	METABRIC_173
MB-0311	METABRIC_173	METABRIC_173	METABRIC_173
MB-0312	METABRIC_173	METABRIC_173	METABRIC_173
MB-0313	METABRIC_173	METABRIC_173	METABRIC_173
MB-0314	METABRIC_173	METABRIC_173	METABRIC_173
MB-0315	METABRIC_173	METABRIC_173	METABRIC_173
MB-0316	METABRIC_173	METABRIC_173	METABRIC_173
MB-0317	METABRIC_173	METABRIC_173	METABRIC_173
MB-0318	METABRIC_173	METABRIC_173	METABRIC_173
MB-0319	METABRIC_173	METABRIC_173	METABRIC_173
MB-0320	METABRIC_173	METABRIC_173	METABRIC_173
MB-0321	METABRIC_173	METABRIC_173	METABRIC_173
MB-0322	METABRIC_173	METABRIC_173	METABRIC_173
MB-0324	METABRIC_173	METABRIC_173	METABRIC_173
MB-0325	METABRIC_173	METABRIC_173	METABRIC_173
MB-0326	METABRIC_173	METABRIC_173	METABRIC_173
MB-0327	METABRIC_173	METABRIC_173	METABRIC_173
MB-0328	METABRIC_173	METABRIC_173	METABRIC_173
MB-0329	METABRIC_173	METABRIC_173	METABRIC_173
MB-0333	METABRIC_173	METABRIC_173	METABRIC_173
MB-0336	METABRIC_173	METABRIC_173	METABRIC_173
MB-0339	METABRIC_173	METABRIC_173	METABRIC_173
MB-0340	METABRIC_173	METABRIC_173	METABRIC_173
MB-0341	METABRIC_173	METABRIC_173	METABRIC_173
MB-0342	METABRIC_173	METABRIC_173	METABRIC_173
MB-0343	METABRIC_173	METABRIC_173	METABRIC_173
MB-0344	METABRIC_173	METABRIC_173	METABRIC_173
MB-0345	METABRIC_173	METABRIC_173	METABRIC_173
MB-0346	METABRIC_173	METABRIC_173	METABRIC_173
MB-0347	METABRIC_173	METABRIC_173	METABRIC_173
MB-0348	METABRIC_173	METABRIC_173	METABRIC_173
MB-0349	METABRIC_173	METABRIC_173	METABRIC_173
MB-0350	METABRIC_173	METABRIC_173	METABRIC_173
MB-0351	METABRIC_173	METABRIC_173	METABRIC_173
MB-0352	METABRIC_173	METABRIC_173	METABRIC_173
MB-0353	METABRIC_173	METABRIC_173	METABRIC_173
MB-0354	METABRIC_173	METABRIC_173	METABRIC_173
MB-0356	METABRIC_173	METABRIC_173	METABRIC_173
MB-0358	METABRIC_173	METABRIC_173	METABRIC_173
MB-0359	METABRIC_173	METABRIC_173	METABRIC_173
MB-0360	METABRIC_173	METABRIC_173	METABRIC_173
MB-0361	METABRIC_173	METABRIC_173	METABRIC_173
MB-0362	METABRIC_173	METABRIC_173	METABRIC_173
MB-0363	METABRIC_173	METABRIC_173	METABRIC_173
MB-0364	METABRIC_173	METABRIC_173	METABRIC_173
MB-0365	METABRIC_173	METABRIC_173	METABRIC_173
MB-0366	METABRIC_173	METABRIC_173	METABRIC_173
MB-0367	METABRIC_173	METABRIC_173	METABRIC_173
MB-0368	METABRIC_173	METABRIC_173	METABRIC_173
MB-0369	METABRIC_173	METABRIC_173	METABRIC_173
MB-0370	METABRIC_173	METABRIC_173	METABRIC_173
MB-0371	METABRIC_173	METABRIC_173	METABRIC_173
MB-0372	METABRIC_173	METABRIC_173	METABRIC_173
MB-0373	METABRIC_173	METABRIC_173	METABRIC_173
MB-0374	METABRIC_173	METABRIC_173	METABRIC_173
MB-0375	METABRIC_173	METABRIC_173	METABRIC_173
MB-0377	METABRIC_173	METABRIC_173	METABRIC_173
MB-0378	METABRIC_173	METABRIC_173	METABRIC_173
MB-0379	METABRIC_173	METABRIC_173	METABRIC_173
MB-0380	METABRIC_173	METABRIC_173	METABRIC_173
MB-0381	METABRIC_173	METABRIC_173	METABRIC_173
MB-0382	METABRIC_173	METABRIC_173	METABRIC_173
MB-0383	METABRIC_173	METABRIC_173	METABRIC_173
MB-0384	METABRIC_173	METABRIC_173	METABRIC_173
MB-0385	METABRIC_173	METABRIC_173	METABRIC_173
MB-0386	METABRIC_173	METABRIC_173	METABRIC_173
MB-0388	METABRIC_173	METABRIC_173	METABRIC_173
MB-0389	METABRIC_173	METABRIC_173	METABRIC_173
MB-0390	METABRIC_173	METABRIC_173	METABRIC_173
MB-0391	METABRIC_173	METABRIC_173	METABRIC_173
MB-0392	METABRIC_173	METABRIC_173	METABRIC_173
MB-0393	METABRIC_173	METABRIC_173	METABRIC_173
MB-0394	METABRIC_173	METABRIC_173	METABRIC_173
MB-0395	METABRIC_173	METABRIC_173	METABRIC_173
MB-0396	METABRIC_173	METABRIC_173	METABRIC_173
MB-0397	METABRIC_173	METABRIC_173	METABRIC_173
MB-0398	METABRIC_173	METABRIC_173	METABRIC_173
MB-0399	METABRIC_173	METABRIC_173	METABRIC_173
MB-0400	METABRIC_173	METABRIC_173	METABRIC_173
MB-0401	METABRIC_173	METABRIC_173	METABRIC_173
MB-0402	METABRIC_173	METABRIC_173	METABRIC_173
MB-0403	METABRIC_173	METABRIC_173	METABRIC_173
MB-0404	METABRIC_173	METABRIC_173	METABRIC_173
MB-0405	METABRIC_173	METABRIC_173	METABRIC_173
MB-0406	METABRIC_173	METABRIC_173	METABRIC_173
MB-0408	METABRIC_173	METABRIC_173	METABRIC_173
MB-0410	METABRIC_173	METABRIC_173	METABRIC_173
MB-0411	METABRIC_173	METABRIC_173	METABRIC_173
MB-0412	METABRIC_173	METABRIC_173	METABRIC_173
MB-0413	METABRIC_173	METABRIC_173	METABRIC_173
MB-0414	METABRIC_173	METABRIC_173	METABRIC_173
MB-0417	METABRIC_173	METABRIC_173	METABRIC_173
MB-0418	METABRIC_173	METABRIC_173	METABRIC_173
MB-0419	METABRIC_173	METABRIC_173	METABRIC_173
MB-0420	METABRIC_173	METABRIC_173	METABRIC_173
MB-0421	METABRIC_173	METABRIC_173	METABRIC_173
MB-0422	METABRIC_173	METABRIC_173	METABRIC_173
MB-0423	METABRIC_173	METABRIC_173	METABRIC_173
MB-0424	METABRIC_173	METABRIC_173	METABRIC_173
MB-0425	METABRIC_173	METABRIC_173	METABRIC_173
MB-0426	METABRIC_173	METABRIC_173	METABRIC_173
MB-0427	METABRIC_173	METABRIC_173	METABRIC_173
MB-0428	METABRIC_173	METABRIC_173	METABRIC_173
MB-0429	METABRIC_173	METABRIC_173	METABRIC_173
MB-0431	METABRIC_173	METABRIC_173	METABRIC_173
MB-0432	METABRIC_173	METABRIC_173	METABRIC_173
MB-0434	METABRIC_173	METABRIC_173	METABRIC_173
MB-0435	METABRIC_173	METABRIC_173	METABRIC_173
MB-0436	METABRIC_173	METABRIC_173	METABRIC_173
MB-0437	METABRIC_173	METABRIC_173	METABRIC_173
MB-0438	METABRIC_173	METABRIC_173	METABRIC_173
MB-0439	METABRIC_173	METABRIC_173	METABRIC_173
MB-0440	METABRIC_173	METABRIC_173	METABRIC_173
MB-0442	METABRIC_173	METABRIC_173	METABRIC_173
MB-0443	METABRIC_173	METABRIC_173	METABRIC_173
MB-0444	METABRIC_173	METABRIC_173	METABRIC_173
MB-0445	METABRIC_173	METABRIC_173	METABRIC_173
MB-0446	METABRIC_173	METABRIC_173	METABRIC_173
MB-0448	METABRIC_173	METABRIC_173	METABRIC_173
MB-0449	METABRIC_173	METABRIC_173	METABRIC_173
MB-0451	METABRIC_173	METABRIC_173	METABRIC_173
MB-0452	METABRIC_173	METABRIC_173	METABRIC_173
MB-0453	METABRIC_173	METABRIC_173	METABRIC_173
MB-0454	METABRIC_173	METABRIC_173	METABRIC_173
MB-0455	METABRIC_173	METABRIC_173	METABRIC_173
MB-0458	METABRIC_173	METABRIC_173	METABRIC_173
MB-0459	METABRIC_173	METABRIC_173	METABRIC_173
MB-0460	METABRIC_173	METABRIC_173	METABRIC_173
MB-0462	METABRIC_173	METABRIC_173	METABRIC_173
MB-0463	METABRIC_173	METABRIC_173	METABRIC_173
MB-0464	METABRIC_173	METABRIC_173	METABRIC_173
MB-0465	METABRIC_173	METABRIC_173	METABRIC_173
MB-0466	METABRIC_173	METABRIC_173	METABRIC_173
MB-0467	METABRIC_173	METABRIC_173	METABRIC_173
MB-0468	METABRIC_173	METABRIC_173	METABRIC_173
MB-0469	METABRIC_173	METABRIC_173	METABRIC_173
MB-0470	METABRIC_173	METABRIC_173	METABRIC_173
MB-0471	METABRIC_173	METABRIC_173	METABRIC_173
MB-0472	METABRIC_173	METABRIC_173	METABRIC_173
MB-0474	METABRIC_173	METABRIC_173	METABRIC_173
MB-0475	METABRIC_173	METABRIC_173	METABRIC_173
MB-0476	METABRIC_173	METABRIC_173	METABRIC_173
MB-0478	METABRIC_173	METABRIC_173	METABRIC_173
MB-0479	METABRIC_173	METABRIC_173	METABRIC_173
MB-0480	METABRIC_173	METABRIC_173	METABRIC_173
MB-0481	METABRIC_173	METABRIC_173	METABRIC_173
MB-0482	METABRIC_173	METABRIC_173	METABRIC_173
MB-0483	METABRIC_173	METABRIC_173	METABRIC_173
MB-0484	METABRIC_173	METABRIC_173	METABRIC_173
MB-0485	METABRIC_173	METABRIC_173	METABRIC_173
MB-0486	METABRIC_173	METABRIC_173	METABRIC_173
MB-0487	METABRIC_173	METABRIC_173	METABRIC_173
MB-0488	METABRIC_173	METABRIC_173	METABRIC_173
MB-0489	METABRIC_173	METABRIC_173	METABRIC_173
MB-0490	METABRIC_173	METABRIC_173	METABRIC_173
MB-0491	METABRIC_173	METABRIC_173	METABRIC_173
MB-0492	METABRIC_173	METABRIC_173	METABRIC_173
MB-0494	METABRIC_173	METABRIC_173	METABRIC_173
MB-0495	METABRIC_173	METABRIC_173	METABRIC_173
MB-0496	METABRIC_173	METABRIC_173	METABRIC_173
MB-0497	METABRIC_173	METABRIC_173	METABRIC_173
MB-0499	METABRIC_173	METABRIC_173	METABRIC_173
MB-0500	METABRIC_173	METABRIC_173	METABRIC_173
MB-0501	METABRIC_173	METABRIC_173	METABRIC_173
MB-0502	METABRIC_173	METABRIC_173	METABRIC_173
MB-0503	METABRIC_173	METABRIC_173	METABRIC_173
MB-0504	METABRIC_173	METABRIC_173	METABRIC_173
MB-0505	METABRIC_173	METABRIC_173	METABRIC_173
MB-0506	METABRIC_173	METABRIC_173	METABRIC_173
MB-0507	METABRIC_173	METABRIC_173	METABRIC_173
MB-0508	METABRIC_173	METABRIC_173	METABRIC_173
MB-0509	METABRIC_173	METABRIC_173	METABRIC_173
MB-0510	METABRIC_173	METABRIC_173	METABRIC_173
MB-0511	METABRIC_173	METABRIC_173	METABRIC_173
MB-0512	METABRIC_173	METABRIC_173	METABRIC_173
MB-0513	METABRIC_173	METABRIC_173	METABRIC_173
MB-0514	METABRIC_173	METABRIC_173	METABRIC_173
MB-0516	METABRIC_173	METABRIC_173	METABRIC_173
MB-0517	METABRIC_173	METABRIC_173	METABRIC_173
MB-0519	METABRIC_173	METABRIC_173	METABRIC_173
MB-0521	METABRIC_173	METABRIC_173	METABRIC_173
MB-0522	METABRIC_173	METABRIC_173	METABRIC_173
MB-0524	METABRIC_173	METABRIC_173	METABRIC_173
MB-0525	METABRIC_173	METABRIC_173	METABRIC_173
MB-0526	METABRIC_173	METABRIC_173	METABRIC_173
MB-0527	METABRIC_173	METABRIC_173	METABRIC_173
MB-0528	METABRIC_173	METABRIC_173	METABRIC_173
MB-0529	METABRIC_173	METABRIC_173	METABRIC_173
MB-0531	METABRIC_173	METABRIC_173	METABRIC_173
MB-0532	METABRIC_173	METABRIC_173	METABRIC_173
MB-0534	METABRIC_173	METABRIC_173	METABRIC_173
MB-0535	METABRIC_173	METABRIC_173	METABRIC_173
MB-0536	METABRIC_173	METABRIC_173	METABRIC_173
MB-0537	METABRIC_173	METABRIC_173	METABRIC_173
MB-0538	METABRIC_173	METABRIC_173	METABRIC_173
MB-0539	METABRIC_173	METABRIC_173	METABRIC_173
MB-0540	METABRIC_173	METABRIC_173	METABRIC_173
MB-0541	METABRIC_173	METABRIC_173	METABRIC_173
MB-0542	METABRIC_173	METABRIC_173	METABRIC_173
MB-0543	METABRIC_173	METABRIC_173	METABRIC_173
MB-0544	METABRIC_173	METABRIC_173	METABRIC_173
MB-0545	METABRIC_173	METABRIC_173	METABRIC_173
MB-0546	METABRIC_173	METABRIC_173	METABRIC_173
MB-0547	METABRIC_173	METABRIC_173	METABRIC_173
MB-0549	METABRIC_173	METABRIC_173	METABRIC_173
MB-0550	METABRIC_173	METABRIC_173	METABRIC_173
MB-0551	METABRIC_173	METABRIC_173	METABRIC_173
MB-0552	METABRIC_173	METABRIC_173	METABRIC_173
MB-0553	METABRIC_173	METABRIC_173	METABRIC_173
MB-0554	METABRIC_173	METABRIC_173	METABRIC_173
MB-0558	METABRIC_173	METABRIC_173	METABRIC_173
MB-0559	METABRIC_173	METABRIC_173	METABRIC_173
MB-0564	METABRIC_173	METABRIC_173	METABRIC_173
MB-0568	METABRIC_173	METABRIC_173	METABRIC_173
MB-0569	METABRIC_173	METABRIC_173	METABRIC_173
MB-0570	METABRIC_173	METABRIC_173	METABRIC_173
MB-0571	METABRIC_173	METABRIC_173	METABRIC_173
MB-0573	METABRIC_173	METABRIC_173	METABRIC_173
MB-0574	METABRIC_173	METABRIC_173	METABRIC_173
MB-0575	METABRIC_173	METABRIC_173	METABRIC_173
